Protein.Group;DMSO_cultbatch1_rep1;DMSO_cultbatch1_rep2;DMSO_cultbatch1_rep3;DMSO_cultbatch1_rep4;DMSO_cultbatch1_rep5;DMSO_cultbatch1_rep6;DMSO_cultbatch2_rep1;DMSO_cultbatch2_rep2;DMSO_cultbatch2_rep3;DMSO_cultbatch2_rep4;DMSO_cultbatch2_rep5;DMSO_cultbatch2_rep6;CAP_cultbatch1_rep1;CAP_cultbatch1_rep2;CAP_cultbatch1_rep3;CAP_cultbatch1_rep4;CAP_cultbatch1_rep5;CAP_cultbatch1_rep6;CAP_cultbatch2_rep1;CAP_cultbatch2_rep2;CAP_cultbatch2_rep3;CAP_cultbatch2_rep4;CAP_cultbatch2_rep5;CAP_cultbatch2_rep6
Q86WR0;8501.21;9280.54;7625.94;8768.23;8873.67;7525.31;8217.83;5973.27;9728.49;10015.8;8641.45;9919.71;7700.58;7882.95;6942.28;8119.75;7504.77;7826.73;9027.33;8673.56;7728.52;8707.39;10447.9;8091.4
Q86WR7;7223.15;8052.02;7336.05;6848.54;6970.03;7353.19;16239.1;14006.7;19219.6;15160.5;15111.7;15167.1;5445.61;6529.21;6773.79;6317.19;3337.55;5100.47;13024.6;10637.8;9211.66;8381.57;15424.7;9336.47
Q86WX3;3836.43;5754.16;6283.96;4261.49;5404.16;6527.27;5558.67;5688.92;4777.38;4422.82;5916.29;5360.46;3180.23;5811.63;4280.75;;5964.04;2705.77;5302.16;5772.68;5706.72;6776.73;6109.92;4672.5
Q86X02;9884.47;6818.76;5600.27;6077.86;8423.6;7674.24;11504.1;14829.3;9841.54;11522.1;14226.7;11088.4;8384.58;7364.76;8320.61;9201.9;4740.15;4984.96;12422.1;6763.89;10604.5;7349.3;8598.01;10971.8
Q86X27;6360.09;8849.66;5502.8;5523.55;6041.12;4844.8;4673.97;6429.65;6232.96;6689.79;9381.24;6335.38;6695.27;6972.25;6338.27;6832.13;4398.54;4747.42;5096.49;5235.48;5443.11;7474.88;6914.71;
Q86X29;24662.1;22266.9;18828.5;14798.4;29431.7;27796.4;41004.4;35291;28532.7;34107.3;44760;41915.7;16975.6;22710.3;18725.6;28570.6;25021.8;13640.7;32430;38019.6;32644.4;35160.7;32843.7;39776.9
Q86X55;46319.4;46709.5;40259.7;41231.6;44540.9;45401.5;46737.9;49967.3;47359.7;49030;54517.4;50281.6;54490.9;50785.7;49505.7;50679.1;39902.8;43692.8;64568.1;53740.1;59660.4;51024.3;54940.9;67635.6
Q86X76;18223;17269.6;14268.9;26978.5;21823.6;16031.5;9142.8;;14379.2;13319;10861;12444;18366.7;17908;22966.7;18572;15775.6;22444.6;9566.82;6716.44;11585.3;9921.73;9268.59;10800.2
Q86XL3;4108.23;5612.98;4024.03;4770.82;4331.37;4898.07;5264.44;4055.09;6049.38;6623.55;6045.13;5493.47;4927.26;4901.24;3425.08;2539.12;3093.02;4234.21;4182.68;3608.27;4584.75;5647.47;5041.55;4235.71
Q86XP3;33264.8;33841.6;32407.6;32273.3;35609.1;33566.1;55722.2;65574.4;50797.1;50693.2;55105.6;47382.2;30898.9;35551.6;33136.1;34867.3;35494;35153.4;50364.7;56189.6;59357.8;54323.9;57862.1;51870.6
